# RaceVideoToLog v2.7.0
# video_hash=da1e455f100f50a2, video=test5.mp4, fps=59.767, codec=h264
# roi=843,993,948,1025, format=km/h, frame_start=362, frame_end=7585
# max_speed=400.0, max_accel=40.0, div=1, force_aspect=1.5, pad=0, buffer=16
# backend=TensorRT, model=v6_small, video_backend=decord/GPU
# pinned=4
# stats: total=7223, trusted=7125, corrected=35
# timing: ocr=14.7s, decode=12.7s, inference=14.1s, correction=0.3s, total=15.8s
863,558.15,128,21
864,558.74,128,21
865,559.34,128,21
866,559.93,128,21
867,560.53,128,21
868,561.12,128,21
869,561.72,128,21
870,562.31,128,21
871,562.91,128,21
872,563.50,128,21
873,564.10,128,21
874,564.69,128,21
875,565.29,128,21
876,565.88,128,21
877,566.48,128,21
878,567.07,128,21
879,567.67,128,21
880,568.26,128,21
881,568.85,128,21
882,569.45,128,21
883,570.04,128,21
884,570.64,128,21
885,571.24,129,21
886,571.84,129,21
887,572.44,129,21
888,573.04,129,21
889,573.63,129,21
890,574.23,129,21
891,574.83,129,21
892,575.43,129,21
893,576.03,129,21
894,576.63,129,21
895,577.23,130,21
896,577.84,130,21
897,578.44,130,21
898,579.05,130,21
899,579.65,130,21
900,580.26,130,21
901,580.86,130,21
902,581.46,130,21
903,582.07,130,21
904,582.67,131,21
905,583.28,131,21
906,583.89,131,21
907,584.50,131,21
908,585.11,131,21
909,585.72,131,21
910,586.33,131,21
911,586.94,131,21
912,587.55,131,21
913,588.16,132,21
914,588.77,132,21
915,589.38,132,21
916,590.00,132,21
917,590.61,132,21
918,591.22,132,21
919,591.84,132,21
920,592.45,131,21
921,593.06,131,21
922,593.67,131,21
923,594.28,131,21
924,594.88,130,21
925,595.49,130,21
926,596.09,130,21
927,596.69,129,21
928,597.29,129,21
929,597.89,129,21
930,598.49,129,21
931,599.09,128,21
932,599.68,128,21
933,600.28,128,21
934,600.87,128,21
935,601.46,127,21
936,602.06,127,21
937,602.65,127,21
938,603.24,127,21
939,603.83,127,21
940,604.42,127,21
941,605.01,127,21
942,605.60,127,21
943,606.19,127,21
944,606.77,126,21
945,607.36,126,21
946,607.95,126,21
947,608.53,126,21
948,609.12,126,21
949,609.70,126,21
950,610.29,126,21
951,610.87,126,21
952,611.46,126,21
953,612.05,126,21
954,612.63,126,21
955,613.22,126,21
956,613.80,126,21
957,614.39,126,21
958,614.97,125,21
959,615.55,125,21
960,616.13,125,21
961,616.71,125,21
962,617.29,124,21
963,617.87,124,21
964,618.45,124,21
965,619.02,123,21
966,619.59,123,21
967,620.16,123,21
968,620.73,123,21
969,621.30,122,21
970,621.87,122,21
971,622.44,122,21
972,623.00,122,21
973,623.57,122,21
974,624.14,121,21
975,624.70,121,21
976,625.26,121,21
977,625.82,121,21
978,626.38,120,21
979,626.94,120,21
980,627.50,120,21
981,628.05,119,21
982,628.61,119,21
983,629.16,118,21
984,629.71,118,21
985,630.25,118,21
986,630.80,118,21
987,631.35,117,21
988,631.89,117,21
989,632.44,117,21
990,632.98,116,21
991,633.52,116,21
992,634.06,116,21
993,634.60,116,21
994,635.13,115,21
995,635.67,115,21
996,636.20,115,21
997,636.74,115,21
998,637.27,114,21
999,637.80,114,21
1000,638.33,114,21
1001,638.86,113,21
1002,639.38,113,21
1003,639.90,112,21
1004,640.42,112,21
1005,640.94,112,21
1006,641.46,112,21
1007,641.98,111,21
1008,642.50,110,21
1009,643.01,110,21
1010,643.52,110,21
1011,644.03,110,21
1012,644.54,110,21
1013,645.05,110,21
1014,645.56,109,21
1015,646.07,109,21
1016,646.57,109,21
1017,647.08,108,21
1018,647.58,108,21
1019,648.08,108,21
1020,648.59,108,21
1021,649.09,108,21
1022,649.59,108,21
1023,650.09,107,21
1024,650.59,107,21
1025,651.08,107,21
1026,651.58,107,21
1027,652.08,107,21
1028,652.57,106,21
1029,653.07,106,21
1030,653.56,106,21
1031,654.05,106,21
1032,654.54,105,21
1033,655.03,105,21
1034,655.52,105,21
1035,656.01,105,21
1036,656.49,105,21
1037,656.98,105,21
1038,657.47,105,21
1039,657.96,105,21
1040,658.45,105,21
1041,658.93,105,21
1042,659.42,105,21
1043,659.91,105,21
1044,660.40,105,21
1045,660.89,105,21
1046,661.37,105,21
1047,661.86,105,21
1048,662.35,105,21
1049,662.84,105,21
1050,663.32,104,21
1051,663.81,104,21
1052,664.29,104,21
1053,664.77,104,21
1054,665.26,104,21
1055,665.74,104,21
1056,666.22,104,21
1057,666.71,104,21
1058,667.19,104,21
1059,667.67,104,21
1060,668.16,104,21
1061,668.64,105,21
1062,669.13,105,21
1063,669.62,105,21
1064,670.11,105,21
1065,670.59,105,21
1066,671.08,106,21
1067,671.58,106,21
1068,672.07,106,21
1069,672.56,106,21
1070,673.06,107,21
1071,673.55,107,21
1072,674.05,107,21
1073,674.55,107,21
1074,675.05,107,21
1075,675.55,108,21
1076,676.05,108,21
1077,676.55,108,21
1078,677.05,108,21
1079,677.55,108,21
1080,678.06,109,21
1081,678.56,109,21
1082,679.07,109,21
1083,679.58,109,21
1084,680.08,109,21
1085,680.59,109,21
1086,681.10,110,21
1087,681.61,110,21
1088,682.12,110,21
1089,682.63,110,21
1090,683.14,110,21
1091,683.66,111,21
1092,684.17,111,21
1093,684.69,111,21
1094,685.21,111,21
1095,685.72,112,21
1096,686.24,112,21
1097,686.77,112,21
1098,687.29,113,21
1099,687.81,113,21
1100,688.34,113,21
1101,688.86,113,21
1102,689.39,113,21
1103,689.91,113,21
1104,690.44,114,21
1105,690.97,114,21
1106,691.50,114,21
1107,692.03,115,21
1108,692.57,115,21
1109,693.10,115,21
1110,693.64,115,21
1111,694.17,116,21
1112,694.71,116,21
1113,695.25,116,21
1114,695.79,116,21
1115,696.33,116,21
1116,696.87,115,21
1117,697.40,115,21
1118,697.93,114,21
1119,698.46,114,21
1120,698.99,113,21
1121,699.52,113,21
1122,700.04,111,21
1123,700.55,111,11
1124,701.07,110,21
1125,701.57,108,21
1126,702.07,108,21
1127,702.57,107,21
1128,703.07,107,21
1129,703.57,106,21
1130,704.06,106,21
1131,704.55,105,21
1132,705.04,105,21
1133,705.52,104,21
1134,706.00,103,21
1135,706.48,103,21
1136,706.96,101,21
1137,707.43,101,21
1138,707.89,100,21
1139,708.36,100,21
1140,708.82,99,21
1141,709.28,99,21
1142,709.74,97,21
1143,710.18,96,21
1144,710.63,96,21
1145,711.07,95,21
1146,711.52,95,21
1147,711.96,94,21
1148,712.39,94,21
1149,712.83,93,21
1150,713.26,93,21
1151,713.69,92,21
1152,714.11,91,21
1153,714.54,91,21
1154,714.96,90,21
1155,715.37,89,21
1156,715.79,89,21
1157,716.20,88,21
1158,716.61,88,21
1159,717.01,87,21
1160,717.42,87,21
1161,717.82,87,21
1162,718.23,86,21
1163,718.62,86,21
1164,719.02,86,21
1165,719.42,86,21
1166,719.82,85,21
1167,720.22,85,21
1168,720.61,85,21
1169,721.01,85,21
1170,721.40,85,21
1171,721.79,84,21
1172,722.19,84,21
1173,722.58,84,21
1174,722.97,84,21
1175,723.36,84,21
1176,723.75,84,21
1177,724.13,83,21
1178,724.52,83,21
1179,724.91,83,21
1180,725.29,82,21
1181,725.67,82,21
1182,726.05,82,21
1183,726.43,82,21
1184,726.81,82,21
1185,727.19,81,21
1186,727.57,81,21
1187,727.95,81,21
1188,728.32,81,21
1189,728.70,81,21
1190,729.08,81,21
1191,729.45,81,21
1192,729.83,80,21
1193,730.20,80,21
1194,730.57,80,21
1195,730.94,80,21
1196,731.31,80,21
1197,731.68,80,21
1198,732.06,80,21
1199,732.43,80,21
1200,732.80,80,21
1201,733.17,80,21
1202,733.54,80,21
1203,733.92,80,21
1204,734.29,80,21
1205,734.66,80,21
1206,735.03,80,21
1207,735.40,80,21
1208,735.77,80,21
1209,736.15,80,21
1210,736.52,80,21
1211,736.89,80,21
1212,737.26,80,21
1213,737.63,80,21
1214,738.01,80,21
1215,738.38,80,21
1216,738.75,80,21
1217,739.12,80,21
1218,739.49,80,21
1219,739.86,80,21
1220,740.24,80,21
1221,740.61,80,21
1222,740.98,79,21
1223,741.34,79,21
1224,741.71,79,21
1225,742.08,79,21
1226,742.45,79,21
1227,742.81,79,21
1228,743.18,79,21
1229,743.55,79,21
1230,743.92,79,21
1231,744.28,79,21
1232,744.65,79,21
1233,745.02,79,21
1234,745.38,79,21
1235,745.75,79,21
1236,746.12,79,21
1237,746.49,79,21
1238,746.85,79,21
1239,747.22,78,21
1240,747.58,78,21
1241,747.94,78,21
1242,748.30,78,21
1243,748.67,78,21
1244,749.03,78,21
1245,749.39,78,21
1246,749.75,78,21
1247,750.12,78,21
1248,750.48,78,21
1249,750.84,78,21
1250,751.20,78,21
1251,751.57,77,21
1252,751.92,77,21
1253,752.28,77,21
1254,752.64,77,21
1255,753.00,77,21
1256,753.35,77,21
1257,753.71,77,21
1258,754.07,77,21
1259,754.43,77,21
1260,754.79,77,21
1261,755.14,77,21
1262,755.50,76,21
1263,755.85,76,21
1264,756.21,76,21
1265,756.56,76,21
1266,756.91,76,21
1267,757.27,76,21
1268,757.62,76,21
1269,757.97,76,21
1270,758.33,76,21
1271,758.68,76,21
1272,759.03,76,21
1273,759.38,76,21
1274,759.74,76,21
1275,760.09,76,21
1276,760.44,76,21
1277,760.80,76,21
1278,761.15,75,21
1279,761.50,75,21
1280,761.85,75,21
1281,762.19,75,21
1282,762.54,75,21
1283,762.89,75,21
1284,763.24,75,21
1285,763.59,74,21
1286,763.93,74,21
1287,764.27,74,21
1288,764.62,74,21
1289,764.96,73,21
1290,765.30,73,21
1291,765.64,73,21
1292,765.98,73,21
1293,766.32,73,21
1294,766.66,73,21
1295,767.00,73,21
1296,767.33,72,21
1297,767.67,72,21
1298,768.00,72,21
1299,768.34,72,21
1300,768.67,72,21
1301,769.01,72,21
1302,769.34,71,21
1303,769.67,71,21
1304,770.00,71,21
1305,770.33,71,21
1306,770.66,71,21
1307,770.99,70,21
1308,771.31,70,21
1309,771.64,70,21
1310,771.96,70,21
1311,772.29,70,21
1312,772.61,70,21
1313,772.94,70,21
1314,773.26,70,21
1315,773.59,70,21
1316,773.91,70,21
1317,774.24,70,21
1318,774.57,71,21
1319,774.90,71,21
1320,775.23,71,21
1321,775.55,70,21
1322,775.88,70,21
1323,776.20,70,21
1324,776.53,70,21
1325,776.86,70,21
1326,777.18,70,21
1327,777.51,70,21
1328,777.83,70,21
1329,778.15,69,21
1330,778.47,69,21
1331,778.80,69,21
1332,779.12,69,21
1333,779.44,69,21
1334,779.76,68,21
1335,780.07,68,21
1336,780.39,68,21
1337,780.70,68,21
1338,781.02,68,21
1339,781.33,67,21
1340,781.64,67,21
1341,781.96,67,21
1342,782.27,67,21
1343,782.58,67,21
1344,782.89,67,21
1345,783.20,67,21
1346,783.51,67,21
1347,783.82,66,21
1348,784.13,66,21
1349,784.44,66,21
1350,784.74,66,21
1351,785.05,66,21
1352,785.36,66,21
1353,785.66,66,21
1354,785.97,65,21
1355,786.27,65,21
1356,786.57,66,21
1357,786.88,66,21
1358,787.19,66,21
1359,787.49,66,21
1360,787.80,66,21
1361,788.11,66,21
1362,788.41,66,21
1363,788.72,66,21
1364,789.03,66,21
1365,789.34,67,21
1366,789.65,67,21
1367,789.96,67,21
1368,790.27,67,21
1369,790.58,67,21
1370,790.90,68,21
1371,791.21,68,21
1372,791.53,68,21
1373,791.84,68,21
1374,792.16,69,21
1375,792.48,69,21
1376,792.80,69,21
1377,793.13,70,21
1378,793.45,70,21
1379,793.78,70,21
1380,794.10,70,21
1381,794.43,71,21
1382,794.76,71,21
1383,795.09,71,21
1384,795.42,72,21
1385,795.76,72,21
1386,796.09,73,21
1387,796.43,73,21
1388,796.77,73,21
1389,797.11,73,21
1390,797.45,74,21
1391,797.80,74,21
1392,798.14,74,21
1393,798.49,75,21
1394,798.84,75,21
1395,799.19,76,21
1396,799.54,76,21
1397,799.89,76,21
1398,800.25,76,21
1399,800.60,77,21
1400,800.96,77,21
1401,801.32,78,21
1402,801.68,78,21
1403,802.05,78,21
1404,802.41,79,21
1405,802.78,79,21
1406,803.15,80,21
1407,803.52,80,21
1408,803.89,81,21
1409,804.27,81,21
1410,804.65,81,21
1411,805.02,82,21
1412,805.41,82,21
1413,805.79,83,21
1414,806.17,83,0
1415,806.56,84,0
1416,806.95,84,0
1417,807.34,84,0
1418,807.73,84,0
1419,808.13,85,0
1420,808.52,86,0
1421,808.92,86,12
1422,809.33,87,11
1423,809.73,87,22
1424,810.14,88,12
1425,810.55,88,0
1426,810.96,89,0
1427,811.37,89,0
1428,811.79,90,0
1429,812.21,91,0
1430,812.63,91,21
1431,813.06,92,21
1432,813.48,92,21
1433,813.91,93,21
1434,814.35,93,21
1435,814.78,94,21
1436,815.22,94,21
1437,815.66,95,21
1438,816.10,97,21
1439,816.55,97,21
1440,817.01,98,21
1441,817.46,98,21
1442,817.92,99,21
1443,818.38,99,21
1444,818.84,100,21
1445,819.31,100,21
1446,819.77,100,21
1447,820.24,100,21
1448,820.70,100,21
1449,821.16,99,21
1450,821.62,99,21
1451,822.08,98,21
1452,822.54,98,21
1453,822.99,97,21
1454,823.44,97,21
1455,823.89,96,21
1456,824.33,95,21
1457,824.77,95,21
1458,825.21,93,21
1459,825.64,93,21
1460,826.07,92,21
1461,826.50,92,21
1462,826.93,91,21
1463,827.35,91,21
1464,827.77,90,21
1465,828.18,88,21
1466,828.59,88,21
1467,829.00,87,21
1468,829.40,87,21
1469,829.81,86,21
1470,830.21,86,21
1471,830.60,84,21
1472,830.99,84,21
1473,831.38,83,21
1474,831.76,82,0
1475,832.14,82,0
1476,832.52,80,0
1477,832.89,80,0
1478,833.26,79,0
1479,833.63,79,0
1480,834.00,79,0
1481,834.36,79,12
1482,834.73,78,22
1483,835.09,77,12
1484,835.45,77,0
1485,835.80,76,0
1486,836.15,76,0
1487,836.51,76,0
1488,836.86,76,0
1489,837.21,75,0
1490,837.56,75,0
1491,837.91,75,21
1492,838.26,75,21
1493,838.60,74,21
1494,838.95,74,21
1495,839.29,74,21
1496,839.64,74,21
1497,839.98,74,21
1498,840.32,74,21
1499,840.67,73,21
1500,841.00,73,21
1501,841.34,73,21
1502,841.68,73,21
1503,842.02,73,21
1504,842.36,73,21
1505,842.70,73,21
1506,843.04,72,21
1507,843.37,72,21
1508,843.71,72,21
1509,844.04,72,21
1510,844.38,72,21
1511,844.71,72,21
1512,845.05,72,21
1513,845.38,72,21
1514,845.71,72,21
1515,846.05,72,21
1516,846.38,72,21
1517,846.72,72,21
1518,847.05,72,21
1519,847.39,72,21
1520,847.72,72,21
1521,848.06,72,21
1522,848.39,72,21
1523,848.73,72,21
1524,849.06,72,21
1525,849.40,72,21
1526,849.73,72,21
1527,850.06,72,21
1528,850.40,72,21
1529,850.73,72,21
1530,851.07,72,21
1531,851.40,72,21
1532,851.74,72,21
1533,852.07,73,21
1534,852.41,73,21
1535,852.75,73,21
1536,853.09,73,21
1537,853.43,73,21
1538,853.77,73,21
1539,854.11,73,21
1540,854.45,73,21
1541,854.79,73,21
1542,855.13,74,21
1543,855.47,74,21
1544,855.82,74,21
1545,856.16,75,21
1546,856.51,75,21
1547,856.86,75,21
1548,857.21,75,21
1549,857.56,75,21
1550,857.91,75,21
1551,858.26,76,21
1552,858.61,76,21
1553,858.97,76,21
1554,859.32,77,21
1555,859.68,77,21
1556,860.04,77,21
1557,860.39,77,21
1558,860.75,77,21
1559,861.11,77,21
1560,861.47,77,21
1561,861.83,77,21
1562,862.18,77,21
1563,862.54,77,21
1564,862.90,77,21
1565,863.26,77,21
1566,863.62,77,21
1567,863.97,77,21
1568,864.33,77,21
1569,864.69,77,21
1570,865.05,77,21
1571,865.40,77,21
1572,865.76,77,21
1573,866.12,77,21
1574,866.48,77,21
1575,866.84,77,21
1576,867.20,78,21
1577,867.56,78,21
1578,867.92,78,21
1579,868.28,78,21
1580,868.65,78,21
1581,869.01,79,21
1582,869.38,79,21
1583,869.75,79,21
1584,870.11,79,21
1585,870.48,79,21
1586,870.85,79,21
1587,871.21,79,21
1588,871.58,79,21
1589,871.95,79,21
1590,872.32,79,21
1591,872.68,79,21
1592,873.05,79,21
1593,873.42,79,21
1594,873.78,79,21
1595,874.15,79,21
1596,874.52,79,21
1597,874.89,79,21
1598,875.25,79,21
1599,875.62,78,21
1600,875.98,78,21
1601,876.34,78,21
1602,876.71,78,21
1603,877.07,77,21
1604,877.42,77,21
1605,877.78,77,21
1606,878.14,77,21
1607,878.49,76,21
1608,878.85,76,21
1609,879.20,76,21
1610,879.55,76,21
1611,879.91,76,21
1612,880.26,75,21
1613,880.61,75,21
1614,880.96,75,21
1615,881.30,75,21
1616,881.65,75,21
1617,882.00,74,21
1618,882.34,74,21
1619,882.69,74,21
1620,883.03,74,21
1621,883.37,74,21
1622,883.72,74,21
1623,884.06,73,21
1624,884.40,73,21
1625,884.74,73,21
1626,885.08,73,21
1627,885.42,73,21
1628,885.75,72,21
1629,886.09,72,21
1630,886.42,72,21
1631,886.76,72,21
1632,887.09,72,21
1633,887.43,72,21
1634,887.76,71,21
1635,888.09,71,21
1636,888.42,71,21
1637,888.75,71,21
1638,889.08,71,21
1639,889.41,70,21
1640,889.73,70,21
1641,890.06,70,21
1642,890.38,70,21
1643,890.71,70,21
1644,891.03,69,21
1645,891.35,69,21
1646,891.67,69,21
1647,891.99,69,21
1648,892.31,69,21
